Rodriguez, Bender, Bending, bender@futurama.org
Farnsworth, Hubert, J., professor@futurama.org
Fry, Philip, J., fry@futurama.org
Zoidberg, John, A., zoidberg@futurama.org
Brannigan, Zapp, , brannigan@futurama.org
Turanga, Leela, , leela@futurama.org
Annihilator, Morbo, , morbo@futurama.org
Kroker, Kif, , kif@futurama.org
Wong, Amy, , amy@futurama.org
Conrad, Hermes, , hermes@futurama.org
Nibbler, Lord, , nibbler@fututama.org
van Schoonhoven, Linda, , vanschoonhoven@futurama.org
Clampazzo, Francis, X., clamps@futurama.org
Mousepad, Joey, , mousepad@futurama.org
Wernstrom, Ogden, , wernstrom@futurama.org
